AC__vOUT__mag__dB20 X,AC__vOUT__mag__dB20 Y
1,51.86656145641317
1.023059729842509,51.86656145640822
1.046651210825427,51.86656145640305
1.070786704986395,51.86656145639763
1.095478757122332,51.86656145639197
1.12074020130978,51.86656145638604
1.146584167575622,51.86656145637983
1.173024088721613,51.86656145637334
1.200073707306289,51.86656145636653
1.227747082787869,51.86656145635941
1.256058598831886,51.86656145635197
1.285022970787309,51.86656145634417
1.314655253335082,51.86656145633601
1.344970848313024,51.86656145632747
1.375985512721172,51.86656145631852
1.407715366911727,51.86656145630916
1.44017690296786,51.86656145629938
1.473386993275719,51.86656145628913
1.507362899294123,51.86656145627839
1.542122280526466,51.86656145626717
1.57768320369952,51.86656145625541
1.614064152153895,51.8665614562431
1.651284035451041,51.86656145623023
1.689362199201789,51.86656145621676
1.728318435121529,51.86656145620265
1.768172991317259,51.8665614561879
1.808946582811855,51.86656145617244
1.850660402311025,51.86656145615626
1.893336131218546,51.86656145613934
1.936995950905506,51.86656145612162
1.98166255423942,51.86656145610308
2.027359157379196,51.86656145608367
2.074109511842097,51.86656145606336
2.121937916848953,51.86656145604209
2.170869231954065,51.86656145601984
2.22092888996634,51.86656145599655
2.272142910168386,51.86656145597217
2.32453791184044,51.86656145594666
2.37814112809615,51.86656145591996
2.432980420037406,51.866561455892
2.489084291235582,51.86656145586274
2.546481902546706,51.86656145583213
2.60520308726827,51.86656145580008
2.665278366645546,51.86656145576654
2.726738965735475,51.86656145573143
2.789616829636377,51.86656145569468
2.853944640091907,51.86656145565622
2.919755832477902,51.86656145561597
2.987084613180931,51.86656145557383
3.055965977377597,51.86656145552973
3.126435727223822,51.86656145548358
3.198530490463571,51.86656145543527
3.272287739466687,51.86656145538471
3.347745810705742,51.86656145533178
3.424943924682006,51.8665614552764
3.503922206310914,51.86656145521843
3.584721705777611,51.86656145515774
3.667384419873419,51.86656145509424
3.751953313824325,51.86656145502776
3.838472343622819,51.86656145495819
3.926986478874702,51.86656145488537
4.017541726172737,51.86656145480916
4.110185153009286,51.86656145472939
4.20496491224037,51.8665614546459
4.30193026711386,51.86656145455851
4.401131616874816,51.86656145446705
4.502620522961273,51.86656145437131
4.606449735804095,51.86656145427111
4.712673222244832,51.86656145416624
4.821346193585822,51.86656145405647
4.932525134287118,51.86656145394159
5.046267831325163,51.86656145382135
5.162633404228463,51.8665614536955
5.281682335805882,51.86656145356378
5.403476503583515,51.8665614534259
5.528079211966493,51.86656145328161
5.655555225142428,51.86656145313056
5.7859708007436,51.86656145297248
5.919393724285391,51.86656145280704
6.055893344398853,51.86656145263386
6.195540608875736,51.86656145245261
6.338408101544702,51.8665614522629
6.484570079997891,51.86656145206435
6.634102514187457,51.86656145185653
6.787083125912126,51.86656145163901
6.943591429214308,51.86656145141135
7.103708771708749,51.86656145117307
7.267518376864211,51.86656145092367
7.435105387260166,51.86656145066263
7.606556908840965,51.86656145038943
7.781962056190506,51.86656145010347
7.961411998850911,51.86656144980417
8.145000008709319,51.86656144949091
8.332821508477386,51.86656144916303
8.52497412128872,51.86656144881986
8.721557721440014,51.86656144846069
8.922674486302265,51.86656144808475
9.12842894942904,51.86656144769128
9.338928054889408,51.86656144727944
9.554281212853782,51.86656144684841
9.774600356461546,51.86656144639726
10.00000000000004,51.86656144592506
10.23059729842512,51.86656144543083
10.4665121082543,51.86656144491356
10.70786704986399,51.86656144437215
10.95478757122336,51.86656144380547
11.20740201309784,51.86656144321235
11.46584167575626,51.86656144259159
11.73024088721618,51.86656144194185
12.00073707306293,51.86656144126181
12.27747082787874,51.86656144055004
12.5605859883189,51.86656143980506
12.85022970787314,51.86656143902533
13.14655253335087,51.86656143820922
13.44970848313029,51.86656143735505
13.75985512721177,51.86656143291098
14.07715366911733,51.86656143197525
14.40176902967865,51.86656143099587
14.73386993275725,51.86656142997079
15.07362899294129,51.86656142889789
15.42122280526472,51.86656142777494
15.77683203699526,51.8665614265996
16.140641521539,51.86656142536944
16.51284035451047,51.86656142408187
16.89362199201796,51.86656142273426
17.28318435121535,51.86656142132377
17.68172991317265,51.86656141984747
18.08946582811861,51.86656141830231
18.50660402311032,51.86656141668507
18.93336131218553,51.86656141499238
19.36995950905513,51.86656141322072
19.81662554239427,51.8665614113664
20.27359157379204,51.86656140587556
20.74109511842104,51.8665614038442
21.2193791684896,51.86656140171808
21.70869231954073,51.86656139949277
22.20928889966348,51.86656139716366
22.72142910168394,51.86656139472587
23.24537911840449,51.86656139217437
23.78141128096158,51.86656138950384
24.32980420037415,51.86656138670873
24.8908429123559,51.86656138378321
25.46481902546715,51.86656137717119
26.0520308726828,51.86656137396636
26.65278366645556,51.86656137061201
27.26738965735485,51.86656136710118
27.89616829636386,51.86656136342656
28.53944640091917,51.86656135958052
29.19755832477912,51.86656135200502
29.87084613180941,51.86656134779178
30.55965977377608,51.86656134338197
31.26435727223833,51.86656133847649
31.98530490463582,51.86656133364564
32.72287739466699,51.8665613250394
33.47745810705754,51.8665613197473
34.24943924682018,51.86656131420832
35.03922206310926,51.86656130841094
35.84721705777623,51.86656129879308
36.67384419873432,51.86656129244217
37.51953313824338,51.86656128579499
38.38472343622832,51.86656127883772
39.26986478874716,51.86656126800584
40.17541726172751,51.86656126038428
41.101851530093,51.86656125240718
42.04964912240384,51.86656124050789
43.01930267113875,51.86656123176914
44.01131616874832,51.86656121878274
45.02620522961289,51.86656120920964
46.06449735804111,51.86656119918992
47.12673222244849,51.86656118515273
48.2134619358584,51.86656117417635
49.32525134287136,51.86656115913787
50.46267831325181,51.86656114711347
