AC__vOUT__phase X,AC__vOUT__phase Y
1,-0.0003045491770917138
1.023059729842509,-0.0003115719988390961
1.046651210825427,-0.0003187567649586974
1.070786704986395,-0.0003261072098439901
1.095478757122332,-0.0003336271540025506
1.12074020130978,-0.0003413205060418288
1.146584167575622,-0.0003491912647007057
1.173024088721613,-0.0003572435209279009
1.200073707306289,-0.0003654814600083059
1.227747082787869,-0.0003739093637383517
1.256058598831886,-0.0003825316126515373
1.285022970787309,-0.0003913526882952812
1.314655253335082,-0.0004003771755602749
1.344970848313024,-0.0004096097650635499
1.375985512721172,-0.0004190552555864988
1.407715366911727,-0.0004287185565691186
1.44017690296786,-0.0004386046906617633
1.473386993275719,-0.0004487187963357499
1.507362899294123,-0.0004590661305541536
1.542122280526466,-0.0004696520715041989
1.57768320369952,-0.0004804821213926538
1.614064152153895,-0.0004915619093056886
1.651284035451041,-0.0005028971941346793
1.689362199201789,-0.0005144938675694818
1.728318435121529,-0.0005263579571607274
1.768172991317259,-0.0005384956294527364
1.808946582811855,-0.0005509131931886758
1.850660402311025,-0.0005636171025896244
1.893336131218546,-0.0005766139607092566
1.936995950905506,-0.0005899105228658789
1.98166255423942,-0.0006035137001536135
2.027359157379196,-0.0006174305630345466
2.074109511842097,-0.000631668345013708
2.121937916848953,-0.0006462344463987998
2.170869231954065,-0.0006611364381466205
2.22092888996634,-0.0006763820657981866
2.272142910168386,-0.0006919792535045972
2.32453791184044,-0.000707936108145734
2.37814112809615,-0.0007242609235439401
2.432980420037406,-0.0007409621847748588
2.489084291235582,-0.0007580485725776864
2.546481902546706,-0.0007755289678671181
2.60520308726827,-0.000793412456349344
2.665278366645546,-0.0008117083332444819
2.726738965735475,-0.0008304261081179152
2.789616829636377,-0.0008495755098230337
2.853944640091907,-0.0008691664915579596
2.919755832477902,-0.0008892092360388715
2.987084613180931,-0.0009097141607926333
3.055965977377597,-0.000930691923571463
3.126435727223822,-0.0009521534278924635
3.198530490463571,-0.0009741098287048965
3.272287739466687,-0.000996572538188138
3.347745810705742,-0.001019553231683337
3.424943924682006,-0.001043063853761855
3.503922206310914,-0.001067116624433638
3.584721705777611,-0.001091724045498761
3.667384419873419,-0.001116898907045429
3.751953313824325,-0.001142654294097824
3.838472343622819,-0.001169003593417251
3.926986478874702,-0.001195960500460108
4.017541726172737,-0.00122353902649632
4.110185153009286,-0.001251753505891907
4.20496491224037,-0.001280618603559493
4.30193026711386,-0.001310149322580628
4.401131616874816,-0.001340361012003862
4.502620522961273,-0.001371269374822657
4.606449735804095,-0.001402890476137259
4.712673222244832,-0.001435240751504782
4.821346193585822,-0.001468337015481846
4.932525134287118,-0.001502196470364195
5.046267831325163,-0.001536836715127867
5.162633404228463,-0.001572275754576527
5.281682335805882,-0.001608532008699743
5.403476503583515,-0.001645624322247061
5.528079211966493,-0.001683571974522859
5.655555225142428,-0.001722394689407058
5.7859708007436,-0.001762112645606914
5.919393724285391,-0.001802746487145217
6.055893344398853,-0.001844317334090336
6.195540608875736,-0.001886846793533707
6.338408101544702,-0.001930356970820449
6.484570079997891,-0.00197487048103896
6.634102514187457,-0.002020410460775451
6.787083125912126,-0.002067000580139561
6.943591429214308,-0.002114665055067248
7.103708771708749,-0.002163428659907401
7.267518376864211,-0.002213316740298689
7.435105387260166,-0.002264355226343349
7.606556908840965,-0.00231657064608476
7.781962056190506,-0.002369990139295798
7.961411998850911,-0.002424641471585153
8.145000008709319,-0.002480553048828939
8.332821508477386,-0.002537753931935075
8.52497412128872,-0.002596273851948156
8.721557721440014,-0.002656143225502606
8.922674486302265,-0.002717393170632203
9.12842894942904,-0.002780055522944153
9.338928054889408,-0.002844162852166141
9.554281212853782,-0.002909748479074947
9.774600356461546,-0.002976846492815435
10.00000000000004,-0.003045491768618907
10.23059729842512,-0.003115719985930045
10.4665121082543,-0.003187567646951858
10.70786704986399,-0.00326107209561825
10.95478757122336,-0.003336271537004121
11.20740201309784,-0.003413205057183029
11.46584167575626,-0.003491912643542785
11.73024088721618,-0.003572435205569512
12.00073707306293,-0.003654814596110979
12.27747082787874,-0.003739093633130265
12.5605859883189,-0.003825316121961047
12.85022970787314,-0.003913526878076101
13.14655253335087,-0.004003771750380828
13.44970848313029,-0.004096097645043933
13.75985512721177,-0.00419055254828773
14.07715366911733,-0.004287185557653434
14.40176902967865,-0.004386046898088548
14.73386993275725,-0.004487187954304086
15.07362899294129,-0.004590661295928511
15.42122280526472,-0.00469652070483161
15.77683203699526,-0.004804821203078447
16.140641521539,-0.004915619081527897
16.51284035451047,-0.005028971929090719
16.89362199201796,-0.005144938662662236
17.28318435121535,-0.005263579557745319
17.68172991317265,-0.005384956279779477
18.08946582811861,-0.005509131916192421
18.50660402311032,-0.005636171009190714
18.93336131218553,-0.005766139589306559
19.36995950905513,-0.00589910520971818
19.81662554239427,-0.006035136981361603
20.27359157379204,-0.006174305606509602
20.74109511842104,-0.006316683424837558
21.2193791684896,-0.006462344437126366
21.70869231954073,-0.006611364352937158
22.20928889966348,-0.006763820627672771
22.72142910168394,-0.006919792502836343
23.24537911840449,-0.007079361047218306
23.78141128096158,-0.007242609199033068
24.32980420037415,-0.007409621809027466
24.8908429123559,-0.007580485684583141
25.46481902546715,-0.007755289631893672
26.0520308726828,-0.007934124513825991
26.65278366645556,-0.008117083279692577
27.26738965735485,-0.008304261025133691
27.89616829636386,-0.008495755038668711
28.53944640091917,-0.008691664852263303
29.19755832477912,-0.00889209228968898
29.87084613180941,-0.009097141532866055
30.55965977377608,-0.009306919155999988
